timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0008180935791338,47054848.0,0.8180935791338271,4705484.8,0.0,4.0,3.2689040666305686,29.015014422721336,0.0,0.0008180935791338,1.0,0.6533303439380089,0.0,0,0.0,0,0,0,0.24019237886466838,1.0,0.0008180935791338,0.0008180935791338,47054848.0,47054848.0
t_1,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0009551923456935,47046656.0,0.955192345693598,4704665.600000001,0.0,4.0,3.423745093899541,28.85476196346244,0.0001370987665597,0.0009551923456935,1.0,0.6823635106746206,0.0,0,0.0,0,0,1,0.23093817754019352,1.003125,0.0008866429624136501,0.0008180935791338,47050752.0,47054848.0
t_2,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0011134334058323,47312896.0,1.1134334058323625,4731289.600000001,0.0,4.0,3.497310971679994,28.72300978772712,0.0001582410601387,0.0011134334058323,1.0,0.7186838473828574,0.0,0,0.0,0,0,2,0.22283614024661397,1.00625,0.0009622397768865334,0.0009551923456935,47138133.333333336,47046656.0
t_3,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0012572345234253,47042560.0,1.257234523425386,4704256.0,0.0,4.0,3.5135155156193747,28.695249130938578,0.000143801117593,0.0012572345234253,1.0,0.7464686534602859,0.0,0,0.0,0,0,3,0.2159209611514683,1.009375,0.0011086200916503666,0.0011134334058323,47134037.333333336,47312896.0
t_4,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014214373696513,46989312.0,1.4214373696513305,4698931.2,0.0,4.0,3.472309675316467,29.05746899731268,0.0001642028462259,0.0014214373696513,1.0,0.7807988968208764,0.0,0,0.0,0,1,4,0.2102222521132795,1.0125,0.0012640350996363,0.0012572345234253,47114922.666666664,47042560.0
t_5,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014195864871156,46964736.0,1.4195864871156387,4696473.600000001,0.0,4.0,3.526479150770797,28.87700007396268,-1.850882535691734e-06,0.0014195864871156,1.0,0.7801553313764795,0.0,0,0.0,0,1,5,0.20576441587903088,1.015625,0.0013660861267307334,0.0014214373696513,46998869.333333336,46989312.0
t_6,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014069169112472,46960640.0,1.4069169112472752,4696064.0,0.0,4.0,3.5277624478215728,28.666033874904457,-1.2669575868363503e-05,0.0014069169112472,1.0,0.7774228549140818,0.0,0,0.0,0,1,6,0.20256654158785692,1.01875,0.0014159802560047,0.0014195864871156,46971562.666666664,46964736.0
t_7,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014153222571429,46956544.0,1.4153222571429565,4695654.4,0.0,4.0,3.4199921477409703,28.80636572076625,8.405345895681413e-06,0.0014153222571429,1.0,0.7791662125456901,0.0,0,0.0,0,1,7,0.20064232302841895,1.021875,0.0014139418851685664,0.0014069169112472,46960640.0,46960640.0
t_8,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014512105903686,46821376.0,1.4512105903686725,4682137.600000001,0.0,4.0,3.47457574803542,29.012006607332168,3.588833322571566e-05,0.0014512105903686,1.0,0.7854104378679967,0.0,0,0.0,0,1,8,0.2,1.025,0.0014244832529195664,0.0014153222571429,46912853.333333336,46956544.0
t_9,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014410414286318,46800896.0,1.4410414286318816,4680089.600000001,0.0,4.0,3.3625817634988664,28.800917137151444,-1.0169161736790604e-05,0.0014410414286318,1.0,0.7830420057778384,0.0,0,0.0,0,1,9,0.20064232302841895,1.028125,0.001435858092047767,0.0014512105903686,46859605.333333336,46821376.0
t_10,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014368146771523,46718976.0,1.4368146771523471,4671897.600000001,0.0,4.0,3.430795177033943,28.852912896624844,-4.226751479534602e-06,0.0014368146771523,1.0,0.7813094062661534,0.0,0,0.0,0,1,10,0.20256654158785692,1.03125,0.0014430222320509,0.0014410414286318,46780416.0,46800896.0
t_11,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014245298142575,46718976.0,1.4245298142575036,4671897.600000001,0.0,4.0,3.4941756023482924,28.851285717807755,-1.2284862894843462e-05,0.0014245298142575,1.0,0.7787003807712765,0.0,0,0.0,0,1,11,0.20576441587903088,1.034375,0.001434128640013867,0.0014368146771523,46746282.666666664,46718976.0
t_12,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.001407000786061,46714880.0,1.4070007860610148,4671488.0,0.0,4.0,3.517373740366778,28.774487808485983,-1.7529028196488832e-05,0.001407000786061,1.0,0.774935867148697,0.0,0,0.0,0,1,12,0.2102222521132795,1.0375,0.0014227817591569332,0.0014245298142575,46717610.666666664,46718976.0
t_13,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0013145629727479,46551040.0,1.3145629727479755,4655104.0,0.0,1.0,3.492477977171632,28.16328492887257,-9.2437813313039e-05,0.0013145629727479,1.0,0.7536343105885134,0.0,0,0.0,0,0,13,0.21592096115146836,1.040625,0.0013820311910221334,0.001407000786061,46661632.0,46714880.0
t_14,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0011787753679308,46551040.0,1.17877536793087,4655104.0,0.0,1.0,3.466599502690244,28.721703113828557,-0.0001357876048171,0.0011787753679308,1.0,0.7247961114251511,0.0,0,0.0,0,0,14,0.22283614024661397,1.04375,0.0013001130422465666,0.0013145629727479,46605653.333333336,46551040.0
t_15,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0010466057130424,46555136.0,1.0466057130424458,4655513.600000001,0.0,1.0,3.4395919294580466,28.678681492073665,-0.0001321696548884,0.0010466057130424,1.0,0.6967680292278806,0.0,0,0.0,0,0,15,0.23093817754019352,1.046875,0.0011799813512403667,0.0011787753679308,46552405.333333336,46551040.0
t_16,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0008816018833189,46559232.0,0.8816018833189917,4655923.2,0.0,1.0,3.3948365223876493,28.682231700401857,-0.0001650038297234,0.0008816018833189,1.0,0.6617667150148262,0.0,0,0.0,0,0,16,0.24019237886466843,1.05,0.0010356609880973666,0.0010466057130424,46555136.0,46555136.0
t_17,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0007441179616698,46555136.0,0.7441179616698338,4655513.600000001,0.0,1.0,3.257070402155108,28.66514632282241,-0.0001374839216491,0.0007441179616698,1.0,0.6325265100530605,0.0,0,0.0,0,0,17,0.25055911630923644,1.053125,0.0008907751860103667,0.0008816018833189,46556501.333333336,46559232.0
t_18,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0005928765417828,46555136.0,0.5928765417828249,4655513.600000001,0.0,1.0,3.166892604307975,28.81188826705457,-0.000151241419887,0.0005928765417828,1.0,0.600406272021571,0.0,0,0.0,0,0,18,0.26199399791262945,1.05625,0.0007395321289238333,0.0007441179616698,46556501.333333336,46555136.0
t_19,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0004530853525321,46555136.0,0.4530853525321988,4655513.600000001,0.0,1.0,2.9197100568922423,28.772047040260347,-0.0001397911892506,0.0004530853525321,1.0,0.5707178025745794,0.0,0,0.0,0,0,19,0.27444805775630676,1.059375,0.0005966932853282334,0.0005928765417828,46555136.0,46555136.0
t_20,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.00026292,46555136.0,0.2629200000000006,4655513.600000001,0.0,1.0,2.797326044093466,28.903281477281126,-0.0001901653525321,0.00026292,1.0,0.5303310064625112,0.0,0,0.0,0,0,20,0.2878679656440358,1.0625,0.00043629396477163333,0.0004530853525321,46555136.0,46555136.0
t_21,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0001816408455362,46829568.0,0.1816408455362884,4682956.8,0.0,1.0,2.751336175445473,28.88064889918887,-8.12791544637121e-05,0.0001816408455362,1.0,0.515866190152076,0.0,0,0.0,0,0,21,0.30219625546997936,1.065625,0.00029921539935610003,0.00026292,46646613.333333336,46555136.0
t_22,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0015555443534368,46559232.0,1.5555443534368874,4655923.2,0.0,1.0,2.626330156637195,28.894652498705653,0.0013739035079005,0.0015555443534368,1.0,0.8048967687784658,0.0,0,0.0,0,2,22,0.3173715712973838,1.06875,0.000666701732991,0.0001816408455362,46647978.666666664,46829568.0
t_23,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0015326178650061,46559232.0,1.5326178650061084,4655923.2,0.0,1.0,2.5302855209776425,28.867335617958133,-2.292648843077883e-05,0.0015326178650061,1.0,0.8000277040330213,0.0,0,0.0,0,1,23,0.33332893009411935,1.071875,0.0010899343546597,0.0015555443534368,46649344.0,46559232.0
t_24,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.001538044308904,46559232.0,1.5380443089040776,4655923.2,0.0,1.0,2.5068275145131764,28.85241981213481,5.426443897969162e-06,0.001538044308904,1.0,0.8011801573080402,0.0,0,0.0,0,1,24,0.35000000000000003,1.075,0.0015420688424489664,0.0015326178650061,46559232.0,46559232.0
t_25,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0015227999929132,46559232.0,1.5227999929132052,4655923.2,0.0,1.0,2.5676331365329474,28.87468257685954,-1.5244315990872335e-05,0.0015227999929132,1.0,0.7979426112798432,0.0,0,0.0,0,1,25,0.36731339293429965,1.078125,0.0015311540556077665,0.001538044308904,46559232.0,46559232.0
t_26,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0015134247967838,47095808.0,1.5134247967838363,4709580.8,0.0,1.0,2.570256729361404,28.813515445871644,-9.375196129368874e-06,0.0015134247967838,1.0,0.8014203480631135,0.0,0,0.0,0,1,26,0.38519497029047306,1.08125,0.0015247563662003335,0.0015227999929132,46738090.666666664,46559232.0
t_27,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.001486306501593,47079424.0,1.486306501593028,4707942.4,0.0,1.0,2.5417581834186365,28.93225019107024,-2.7118295190808236e-05,0.001486306501593,1.0,0.7954940521679108,0.0,0,0.0,0,1,27,0.4035681604090515,1.084375,0.00150751043043,0.0015134247967838,46911488.0,47095808.0
t_28,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014998791141775,47079424.0,1.4998791141775611,4707942.4,5.0,1.0,2.543199450839793,28.875767362737605,1.357261258453312e-05,0.0014998791141775,0.1666666666666666,0.7983765664107028,0.0,0,0.0,0,1,28,0.4223542864692438,1.0875,0.0014998701375181,0.001486306501593,47084885.333333336,47079424.0
t_29,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014897180541738,47075328.0,1.4897180541738038,4707532.8,5.0,1.0,2.4980832410449096,28.87357313675697,-1.0161060003757456e-05,0.0014897180541738,1.0,0.7961768416689456,0.0,0,0.0,0,1,29,0.44147290339516154,1.090625,0.0014919678899814335,0.0014998791141775,47078058.666666664,47079424.0
t_30,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014866453966992,47022080.0,1.4866453966992168,4702208.0,5.0,1.0,2.507136172492878,29.16819111954834,-3.0726574745869404e-06,0.0014866453966992,1.0,0.7949815722453237,0.0,0,0.0,0,1,30,0.4608421423339845,1.09375,0.0014920808550168332,0.0014897180541738,47058944.0,47075328.0
t_31,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014880739865978,46993408.0,1.488073986597824,4699340.8,5.0,1.0,2.507136172492878,29.16819111954834,1.428589898607325e-06,0.0014880739865978,1.0,0.7949927454826342,0.0,0,0.0,0,1,31,0.4803790612309571,1.096875,0.0014881458124902667,0.0014866453966992,47030272.0,47022080.0
t_32,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014845352148237,46993408.0,1.4845352148237505,4699340.8,5.0,1.0,2.507136172492878,29.16819111954834,-3.538771774073881e-06,0.0014845352148237,1.0,0.7942411908370399,0.0,0,0.0,0,1,32,0.5,1.1,0.0014864181993735667,0.0014880739865978,47002965.333333336,46993408.0
t_33,emailservice_checkout_replicas_1_users_75,emailservice,checkout,1,75,0.0014893800695449,46989312.0,1.489380069544919,4698931.2,5.0,1.0,2.507136172492878,29.16819111954834,4.844854721168784e-06,0.0014893800695449,1.0,0.7952283811163461,0.0,0,0.0,0,1,33,0.5196209387690429,1.103125,0.0014873297569888,0.0014845352148237,46992042.666666664,46993408.0
