ycpu,endpoint,id,instance,job,metrics_path,namespace,node,pod,service,value
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00035817782301133204
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003158704526898302
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00030605640918166487
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00030396885062199455
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003314742727723122
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00031286145024961667
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003428144566628156
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003634552039812346
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003677807319144197
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003155187796096495
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00032879475882356923
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003272776591527157
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003438710677204402
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00031690517912772576
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003265520560760333
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00033025794340540884
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003018097460863934
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00028926476033151987
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002893305579802593
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00027963337656722895
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0003103536603517567
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00027979929559307834
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002854604016941814
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002846799082060612
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002909106280448497
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002754014907763033
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002879430034165647
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00027693718005835093
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.0002505746911516776
total,https-metrics,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod063f4bbe_59f9_414f_8706_deb142f36dfe.slice,192.168.49.2:10250,kubelet,/metrics/cadvisor,hipster-shop,minikube,frontend-76dbbddfc5-5gkwg,prometheus-kube-prometheus-kubelet,0.00020508214201580348
