timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.299060497237576e-05,0.0,0.032990604972375756,0.0,1.0,2.0,-114.74361111111108,27.368179441291034,0.0,3.299060497237576e-05,1.0,0.0005616072592952029
t_1,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8597504.0,0.038125000000000034,859750.4,1.0,2.0,-114.74361111111108,27.368179441291034,5.1343950276242745e-06,3.812500000000003e-05,1.0,0.1989672275159682
t_2,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,-114.74361111111108,27.368179441291034,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_3,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,-114.74361111111108,27.368179441291034,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_4,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,-114.74361111111108,27.368179441291034,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_5,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,-114.74361111111108,27.368179441291034,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_6,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,-114.74361111111108,27.368179441291034,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_7,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,2.6450587790840245,27.368179441291034,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_8,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.812500000000003e-05,8605696.0,0.038125000000000034,860569.6000000001,1.0,2.0,2.6450587790840245,27.496504648183077,0.0,3.812500000000003e-05,1.0,0.199156191990647
t_9,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.593353691639526e-05,8605696.0,0.03593353691639526,860569.6000000001,1.0,2.0,2.6450587790840245,27.496504648183077,-2.191463083604774e-06,3.593353691639526e-05,1.0,0.19911888617048212
t_10,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,4.9948511943393876e-05,8605696.0,0.04994851194339388,860569.6000000001,1.0,2.0,2.524429464743207,27.496504648183077,1.4014975026998618e-05,4.9948511943393876e-05,1.0,0.19935746656998052
t_11,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,5.3360000000000024e-05,8605696.0,0.053360000000000025,860569.6000000001,1.0,2.0,-93.47213303610218,27.496504648183077,3.411488056606148e-06,5.3360000000000024e-05,1.0,0.19941554117816648
t_12,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00011019030963856716,8613888.0,0.11019030963856716,861388.8,1.0,2.0,-89.74940172877257,27.496504648183077,5.6830309638567136e-05,0.00011019030963856716,1.0,0.20057194212355375
t_13,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0001234511666098872,8630272.0,0.12345116660988718,863027.2000000001,1.0,2.0,-121.11665488472866,27.496504648183077,1.326085697132003e-05,0.0001234511666098872,1.0,0.2011756139335167
t_14,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00013040800000000002,8638464.0,0.13040800000000002,863846.4,1.0,4.0,-94.91611111111118,28.64709236776895,6.956833390112826e-06,0.00013040800000000002,1.0,0.20148300631022595
t_15,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00020284978389743273,8658944.0,0.20284978389743274,865894.4,1.0,4.0,-94.91611111111118,28.64709236776895,7.244178389743272e-05,0.00020284978389743273,1.0,0.2031886119699299
t_16,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0002053683333333334,8323072.0,0.2053683333333334,832307.2000000001,1.0,4.0,-93.3702283180751,28.64709236776895,2.518549435900658e-06,0.0002053683333333334,1.0,0.19548394240044917
t_17,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00022179429463357333,8323072.0,0.22179429463357334,832307.2000000001,1.0,4.0,-75.30854166666668,27.695858658351952,1.6425961300239937e-05,0.00022179429463357333,1.0,0.19576356561787245
t_18,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00019438482648386423,8323072.0,0.19438482648386424,832307.2000000001,1.0,4.0,-75.30854166666668,27.946148283782875,-2.7409468149709097e-05,0.00019438482648386423,1.0,0.19529696743638453
t_19,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00017637747226861839,8323072.0,0.17637747226861838,832307.2000000001,1.0,4.0,-97.28897267778765,27.98071349801201,-1.8007354215245845e-05,0.00017637747226861839,1.0,0.19499042377474357
t_20,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00016219034301365753,8323072.0,0.16219034301365753,832307.2000000001,1.0,4.0,81.60424754288415,27.98071349801201,-1.4187129254960852e-05,0.00016219034301365753,1.0,0.19474891275108042
t_21,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00024953751207711376,8323072.0,0.24953751207711378,832307.2000000001,1.0,4.0,,27.98071349801201,8.734716906345623e-05,0.00024953751207711376,1.0,0.196235845296452
t_22,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0002617461731788887,8486912.0,0.2617461731788887,848691.2000000001,1.0,4.0,,27.98071349801201,1.220866110177493e-05,0.0002617461731788887,1.0,0.200222965859108
t_23,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00022821432529647058,8486912.0,0.2282143252964706,848691.2000000001,1.0,4.0,,27.98071349801201,-3.353184788241811e-05,0.00022821432529647058,1.0,0.1996521448873763
t_24,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00022821432529647058,8486912.0,0.2282143252964706,848691.2000000001,1.0,4.0,,27.98071349801201,0.0,0.00022821432529647058,1.0,0.1996521448873763
t_25,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,4.8953333333333446e-05,8486912.0,0.048953333333333446,848691.2000000001,1.0,4.0,,27.98071349801201,-0.00017926099196313713,4.8953333333333446e-05,1.0,0.19660054051457818
t_26,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00021495242410512005,8486912.0,0.21495242410512005,848691.2000000001,1.0,4.0,,27.98071349801201,0.0001659990907717866,0.00021495242410512005,1.0,0.19942638425075399
t_27,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00021951968409065294,12800000.0,0.21951968409065295,1280000.0,1.0,4.0,,27.98071349801201,4.567259985532884e-06,0.00021951968409065294,1.0,0.29899392976980654
t_28,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00021951968409065294,12251136.0,0.21951968409065295,1225113.6,1.0,4.0,,27.98071349801201,0.0,0.00021951968409065294,1.0,0.2863333099663296
t_29,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,9.598666666666671e-05,12251136.0,0.0959866666666667,1225113.6,1.0,4.0,,,-0.00012353301742398624,9.598666666666671e-05,1.0,0.2842303767401568
t_30,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,9.598666666666671e-05,12251136.0,0.0959866666666667,1225113.6,0.0,,,,0.0,9.598666666666671e-05,inf,0.2842303767401568
t_31,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0002052685406672972,12251136.0,0.2052685406672972,1225113.6,0.0,,,,0.00010928187400063048,0.0002052685406672972,1.0,0.28609070921358454
t_32,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0002045917105738687,12312576.0,0.20459171057386868,1231257.6,0.0,,,,-6.768300934285019e-07,0.0002045917105738687,1.0,0.28749642092695255
t_33,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00018074605062092533,12304384.0,0.18074605062092533,1230438.4000000001,0.0,,,,-2.3845659952943354e-05,0.00018074605062092533,1.0,0.28690152586253553
t_34,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0001809965280241767,12304384.0,0.1809965280241767,1230438.4000000001,0.0,,,,2.504774032513772e-07,0.0001809965280241767,1.0,0.2869057898015592
t_35,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00015927883410064687,12304384.0,0.15927883410064686,1230438.4000000001,0.0,,,,-2.171769392352984e-05,0.00015927883410064687,1.0,0.2865360841058674
t_36,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00023588501432956544,12304384.0,0.23588501432956543,1230438.4000000001,0.0,,,,7.660618022891857e-05,0.00023588501432956544,1.0,0.28784017013155444
t_37,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00016727825107042477,12386304.0,0.16727825107042477,1238630.4000000001,0.0,,,,-6.860676325914068e-05,0.00016727825107042477,1.0,0.28856190491381295
t_38,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0001905202590033886,12378112.0,0.1905202590033886,1237811.2,0.0,,,,2.3242007932963835e-05,0.0001905202590033886,1.0,0.28876859491066265
t_39,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0002029911457266192,12378112.0,0.2029911457266192,1237811.2,0.0,,,,1.247088672323059e-05,0.0002029911457266192,1.0,0.2889808899116024
t_40,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.000235900541047327,12378112.0,0.235900541047327,1237811.2,0.0,,,,3.29093953207078e-05,0.000235900541047327,1.0,0.2895411147188347
t_41,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00023475355054302426,12627968.0,0.23475355054302427,1262796.8,0.0,,,,-1.1469905043027292e-06,0.00023475355054302426,1.0,0.2952850056924093
t_42,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00016199591646110667,12627968.0,0.16199591646110667,1262796.8,0.0,,,,-7.27576340819176e-05,0.00016199591646110667,1.0,0.29404643442329303
t_43,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.0001836812233401336,12713984.0,0.1836812233401336,1271398.4000000001,0.0,,,,2.168530687902693e-05,0.0001836812233401336,1.0,0.2963997157704123
t_44,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00017615625000000004,12963840.0,0.17615625000000004,1296384.0,0.0,,,,-7.524973340133554e-06,0.00017615625000000004,1.0,0.302035032758658
t_45,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00024955968326796407,12963840.0,0.24955968326796407,1296384.0,0.0,,,,7.340343326796403e-05,0.00024955968326796407,1.0,0.30328459762765625
t_46,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00022791554832690003,12963840.0,0.22791554832690003,1296384.0,0.0,,,,-2.1644134941064045e-05,0.00022791554832690003,1.0,0.302916144144786
t_47,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00015801333333333322,12963840.0,0.15801333333333323,1296384.0,0.0,,,,-6.990221499356681e-05,0.00015801333333333322,1.0,0.3017261813837493
t_48,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00015801333333333322,0.0,0.15801333333333323,0.0,0.0,,,,0.0,0.00015801333333333322,1.0,0.002689900204610951
t_49,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.000150287091520623,9129984.0,0.150287091520623,912998.4,0.0,,,,-7.72624181271021e-06,0.000150287091520623,1.0,0.21315928150145366
t_50,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.000127305811989453,9187328.0,0.127305811989453,918732.8,0.0,,,,-2.298127953117001e-05,0.000127305811989453,1.0,0.2140908167969935
t_51,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00011939241321388566,9187328.0,0.11939241321388566,918732.8,0.0,,,,-7.91339877556734e-06,0.00011939241321388566,1.0,0.213956105044912
t_52,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00011005006565286409,9187328.0,0.11005006565286408,918732.8,0.0,,,,-9.342347561021568e-06,0.00011005006565286409,1.0,0.2137970679428788
t_53,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00021291163329472133,9187328.0,0.21291163329472132,918732.8,0.0,,,,0.00010286156764185724,0.00021291163329472133,1.0,0.21554810594713858
t_54,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,0.00021291163329472133,9187328.0,0.21291163329472132,918732.8,0.0,,,,0.0,0.00021291163329472133,1.0,0.21554810594713858
t_55,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,2.818290900127447e-05,9187328.0,0.028182909001274473,918732.8,0.0,,,,-0.00018472872429344686,2.818290900127447e-05,1.0,0.2124034230093625
t_56,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.618118090786186e-05,9187328.0,0.03618118090786186,918732.8,0.0,,,,7.998271906587392e-06,3.618118090786186e-05,1.0,0.21253957957782546
t_57,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9187328.0,0.037551111111111105,918732.8,0.0,,,,1.3699302032492392e-06,3.75511111111111e-05,1.0,0.21256290023979926
t_58,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9187328.0,0.037551111111111105,918732.8,0.0,,,,0.0,3.75511111111111e-05,1.0,0.21256290023979926
t_59,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9187328.0,0.037551111111111105,918732.8,0.0,,,,0.0,3.75511111111111e-05,1.0,0.21256290023979926
t_60,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9195520.0,0.037551111111111105,919552.0,0.0,,,,0.0,3.75511111111111e-05,1.0,0.21275186471447802
t_61,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9228288.0,0.037551111111111105,922828.8,0.0,,,,0.0,3.75511111111111e-05,1.0,0.21350772261319306
t_62,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9240576.0,0.037551111111111105,924057.6000000001,0.0,,,,0.0,3.75511111111111e-05,1.0,0.2137911693252112
t_63,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.75511111111111e-05,9515008.0,0.037551111111111105,951500.8,0.0,,,,0.0,3.75511111111111e-05,1.0,0.22012147922694966
t_64,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.6218352558374e-05,8806400.0,0.036218352558374,880640.0,0.0,,,,-1.332758552737103e-06,3.6218352558374e-05,1.0,0.20375336428749868
t_65,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,1.590622778848213e-05,8806400.0,0.015906227788482132,880640.0,0.0,,,,-2.031212476989187e-05,1.590622778848213e-05,1.0,0.20340758594448155
t_66,frontend_checkout_replicas_1_users_10,frontend,checkout,1,10,3.240276722410032e-05,8826880.0,0.03240276722410032,882688.0,0.0,,,,1.6496539435618186e-05,3.240276722410032e-05,1.0,0.20416082181772327
