timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00010749869702625522,0.0,0.10749869702625521,0.0,10.0,1.0,2.412272579115637,28.16122091694507,0.0,0.00010749869702625522,1.0,0.04340067487430992
t_1,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00014446210770595008,33267712.0,0.14446210770595008,3326771.2,10.0,1.0,2.4117080578549803,28.147044734361756,3.696341067969486e-05,0.00014446210770595008,1.0,0.23022544649821378
t_2,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00021555951123457186,31739904.0,0.21555951123457187,3173990.4000000004,10.0,1.0,2.4113993987320157,28.12500385222353,7.109740352862179e-05,0.00021555951123457186,1.0,0.2510352365926902
t_3,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00026479641513932247,31322112.0,0.26479641513932245,3132211.2,10.0,1.0,2.4011608095294292,28.077396532974177,4.923690390475061e-05,0.00026479641513932247,1.0,0.26875493374713727
t_4,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0003529347671730176,25059328.0,0.3529347671730176,2505932.8000000003,10.0,1.0,2.3853705994632293,28.13792266904727,8.813835203369514e-05,0.0003529347671730176,1.0,0.27197805770480443
t_5,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0003953673299029861,23183360.0,0.3953673299029861,2318336.0,10.0,1.0,2.3583100295696653,27.81561791267916,4.243256272996849e-05,0.0003953673299029861,1.0,0.27941591343252475
t_6,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00044963671129050154,22978560.0,0.44963671129050153,2297856.0,10.0,1.0,2.360316313869376,27.950871021639273,5.4269381387515446e-05,0.00044963671129050154,1.0,0.3002679589833036
t_7,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0004947395667402181,22085632.0,0.49473956674021813,2208563.2,10.0,1.0,2.3663881337056267,28.026214350290758,4.510285544971659e-05,0.0004947395667402181,1.0,0.31386347769081624
t_8,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005576877037974631,22683648.0,0.5576877037974631,2268364.8000000003,10.0,1.0,2.374360303967407,28.20532733545211,6.294813705724496e-05,0.0005576877037974631,1.0,0.3423677392463533
t_9,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005450297670891782,23023616.0,0.5450297670891783,2302361.6,10.0,1.0,2.358618688692715,28.22734356335978,-1.2657936708284842e-05,0.0005450297670891782,1.0,0.33901401197043407
t_10,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005583750545318572,22777856.0,0.5583750545318572,2277785.6,10.0,1.0,2.346272323771146,28.19573683975662,1.3345287442678927e-05,0.0005583750545318572,1.0,0.34313203789468727
t_11,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005512406505584572,23187456.0,0.5512406505584572,2318745.6,10.0,1.0,2.3519294970566307,28.164352004228704,-7.134403973399982e-06,0.0005512406505584572,1.0,0.34236814168788776
t_12,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005351194713443379,23236608.0,0.5351194713443379,2323660.8000000003,10.0,1.0,2.3488959263168567,28.264497488843347,-1.6121179214119256e-05,0.0005351194713443379,1.0,0.3361134831272079
t_13,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005250689852657886,22781952.0,0.5250689852657886,2278195.2,10.0,2.0,2.3640686018501924,28.238364004428888,-1.0050486078549319e-05,0.0005250689852657886,1.0,0.3297064734694587
t_14,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005321020684696643,23134208.0,0.5321020684696643,2313420.8000000003,10.0,2.0,2.369166055523806,28.26427560076813,7.033083203875686e-06,0.0005321020684696643,1.0,0.3343661377972737
t_15,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005200634253971182,22413312.0,0.5200634253971183,2241331.2,10.0,2.0,2.3833114185355555,28.278180586815054,-1.2038643072546083e-05,0.0005200634253971182,1.0,0.3257807257307625
t_16,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0005358815466331598,21348352.0,0.5358815466331598,2134835.2,10.0,2.0,2.37301978272707,28.364593664996846,1.5818121236041622e-05,0.0005358815466331598,1.0,0.32666413063271915
t_17,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0002445360138323725,21602304.0,0.24453601383237247,2160230.4,10.0,2.0,2.373279997036974,28.40874939196503,-0.00029134553280078736,0.0002445360138323725,1.0,0.21035081122679344
t_18,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0001925176122659424,22044672.0,0.19251761226594238,2204467.2,10.0,2.0,2.375286281336571,28.524846163764735,-5.2018401566430094e-05,0.0001925176122659424,1.0,0.19163512367788216
t_19,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00014152083333333342,94978048.0,0.14152083333333343,9497804.8,10.0,2.0,2.379761838620624,28.44230379978397,-5.099677893260896e-05,0.00014152083333333342,1.0,0.5479085996413392
t_20,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00010326654545182774,95457280.0,0.10326654545182774,9545728.0,10.0,2.0,2.3740516448445135,28.31481677345647,-3.825428788150568e-05,0.00010326654545182774,1.0,0.5349404108909994
t_21,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00020367076690406757,95268864.0,0.20367076690406757,9526886.4,10.0,2.0,2.3862965734026744,28.3004680112591,0.00010040422145223983,0.00020367076690406757,1.0,0.574503232048214
t_22,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00016628144134937776,95772672.0,0.16628144134937775,9577267.200000001,10.0,2.0,2.3683944105744104,28.336068720216147,-3.738932555468982e-05,0.00016628144134937776,1.0,0.5620112458581229
t_23,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00011104888888888967,95739904.0,0.11104888888888967,9573990.4,10.0,2.0,2.3601089941132187,28.220341761875147,-5.5232552460488085e-05,0.00011104888888888967,1.0,0.5395427720378664
t_24,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,7.700425730994212e-05,96526336.0,0.07700425730994212,9652633.6,10.0,2.0,2.3557394334026753,28.23885708904048,-3.404463157894755e-05,7.700425730994212e-05,1.0,0.5298615254512681
t_25,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00018716227205016974,96763904.0,0.18716227205016975,9676390.4,10.0,2.0,2.353168856278387,28.37253232724349,0.00011015801474022762,0.00018716227205016974,1.0,0.5755634174431215
t_26,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00013642727879400419,94547968.0,0.13642727879400418,9454796.8,10.0,2.0,2.3483316418875972,28.335255130607024,-5.0734993256165554e-05,0.00013642727879400419,1.0,0.5436298518738217
t_27,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.00011106791397737527,94404608.0,0.11106791397737527,9440460.8,10.0,2.0,2.34601670703924,28.142804206702053,-2.5359364816628918e-05,0.00011106791397737527,1.0,0.5326506901238954
t_28,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,5.53649923174559e-05,94269440.0,0.055364992317455904,9426944.0,10.0,2.0,2.3566124043929193,28.476375946445103,-5.570292165991937e-05,5.53649923174559e-05,1.0,0.5094631902323663
t_29,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0011426236521762383,94167040.0,1.1426236521762383,9416704.0,10.0,2.0,2.3602679635192203,28.51695680997925,0.0010872586598587824,0.0011426236521762383,1.0,0.9478952910810257
t_30,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.001151268782895634,94105600.0,1.151268782895634,9410560.0,10.0,2.0,2.352392487456058,28.499550923189986,8.645130719395645e-06,0.001151268782895634,1.0,0.9510681341198441
t_31,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0011913762208239204,93863936.0,1.1913762208239205,9386393.6,0.0,,,,4.010743792828646e-05,0.0011913762208239204,-0.1111111111111111,0.9660120642211754
t_32,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0012287821456099775,93790208.0,1.2287821456099774,9379020.8,0.0,,,,3.74059247860571e-05,0.0012287821456099775,1.0,0.9807330683423522
t_33,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.001238444993511918,94666752.0,1.238444993511918,9466675.200000001,0.0,,,,9.662847901940408e-06,0.001238444993511918,1.0,0.9891635624788351
t_34,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0009489854456602579,94392320.0,0.9489854456602579,9439232.0,0.0,,,,-0.00028945954785166003,0.0009489854456602579,1.0,0.8708814014427632
t_35,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0009751854316904647,94654464.0,0.9751854316904647,9465446.4,0.0,,,,2.6199986030206782e-05,0.0009751854316904647,1.0,0.8828137315559053
t_36,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0009841601963821106,94543872.0,0.9841601963821106,9454387.200000001,0.0,,,,8.974764691645968e-06,0.0009841601963821106,1.0,0.885865679406711
t_37,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0009494403422409753,95100928.0,0.9494403422409753,9510092.8,0.0,,,,-3.471985414113532e-05,0.0009494403422409753,1.0,0.8747265884421264
t_38,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0009252843901044112,94806016.0,0.9252843901044112,9480601.6,0.0,,,,-2.4155952136564133e-05,0.0009252843901044112,1.0,0.8634501810924262
t_39,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0008841917529251506,95043584.0,0.8841917529251506,9504358.4,0.0,,,,-4.1092637179260586e-05,0.0008841917529251506,1.0,0.8480873295099285
t_40,paymentservice_checkout_replicas_2_users_75,paymentservice,checkout,2,75,0.0009053197933368958,95285248.0,0.9053197933368957,9528524.8,0.0,,,,2.1128040411745163e-05,0.0009053197933368958,1.0,0.8578661277739417
